INCREMENTAL_FULL_LEAF_RESOURCE_POLICY_V1 composition_allocation_budget_bytes=17179869184 pcs_retained_byte_budget_bytes=25769803776 host_admission_limit_bytes=34359738368 process_cap_enforced=false
INCREMENTAL_FULL_LEAF_PREFLIGHT_V1 retained_lde_lower_bound_bytes=20550093056 source_column_bytes=10275046528 columns=16894 blowup_log=1 budget_bytes=25769803776 excludes=merkle,fri,quotient,twiddles,witness,allocator
INCREMENTAL_FULL_LEAF_TREE1_PREFLIGHT_V1 retained_bytes=17253064448 columns=8458 budget_bytes=25769803776 retention=never
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002018000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004095000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001988000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004111000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001937000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004049000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002020000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004126000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001932000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004001000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001964000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004055000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001957000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004021000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002102000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004394000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001957000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004057000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002085000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004385000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002069000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004245000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002033000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004232000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002044000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004459000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002204000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004124000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001966000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004113000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001986000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004165000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002140000
